SQLDATE,Location,EventCode,Actor1Name,GoldsteinScale,NumArticles
20260118,"Tehran, Tehran, Iran",111,DUBAI,-2,13
20260118,"Tehran, Tehran, Iran",1123,,-2,6
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,4
20260118,"Tehran, Tehran, Iran",143,MILITARY,-6.5,3
20260118,Iran,111,IRAN,-2,10
20260118,Iran,111,IRAN,-2,1
20260118,"Tehran, Tehran, Iran",120,IRAN,-4,4
20260118,"Tehran, Tehran, Iran",143,IRAN,-6.5,2
20260118,"Tehran, Tehran, Iran",120,PRESIDENT,-4,10
20260118,"Pahlavi, Gilan, Iran",110,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",111,IRANIAN,-2,6
20260118,"Tehran, Tehran, Iran",111,A US,-2,10
20260118,Iran,141,MILITARY,-6.5,10
20260118,Iran,114,GOVERNMENT,-2,8
20260118,"Pahlavi, Gilan, Iran",110,IRAN,-2,6
20260118,"Tehran, Tehran, Iran",111,IRANIAN,-2,4
20260118,"Tehran, Tehran, Iran",110,RIOTER,-2,10
20260118,Iran,111,ISRAEL,-2,8
20260118,Iran,111,PALESTINIAN,-2,4
20260118,Iran,111,PALESTINIAN,-2,8
20260118,"Tehran, Tehran, Iran",112,IRANIAN,-2,3
20260118,"Tehran, Tehran, Iran",112,PROTESTER,-2,6
20260118,"Tehran, Tehran, Iran",120,REGIME,-4,7
20260118,"Tehran, Tehran, Iran",140,IRANIAN,-6.5,2
20260118,"Tehran, Tehran, Iran",141,IRANIAN,-6.5,2
20260118,"Tehran, Tehran, Iran",112,PROTESTER,-2,4
20260118,"Tehran, Tehran, Iran",120,WASHINGTON,-4,10
20260118,Iran,120,DEALER,-4,8
20260118,"Tehran, Tehran, Iran",110,REGIME,-2,4
20260118,"Basij, Fars, Iran",110,IRAN,-2,1
20260118,"Basij, Fars, Iran",1124,OVAL OFFICE,-2,4
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,6
20260118,"Tehran, Tehran, Iran",112,ARIANA,-2,4
20260118,"Basij, Fars, Iran",110,IRAN,-2,1
20260118,Iran,120,UNITED STATES,-4,2
20260118,"Tehran, Tehran, Iran",110,POLICE,-2,1
20260118,"Karaj, Tehran, Iran",120,IRAN,-4,6
20260118,"Tehran, Tehran, Iran",141,SECURITY FORCE,-6.5,10
20260118,"Karaj, Tehran, Iran",1123,SECURITY FORCE,-2,10
20260118,"Tehran, Tehran, Iran",120,IRAN,-4,3
20260118,Iran,112,IRANIAN,-2,4
20260118,Iran,112,IRANIAN,-2,6
20260118,Iran,112,IRANIAN,-2,3
20260118,"Pahlavi, Gilan, Iran",141,IRAN,-6.5,10
20260118,"Tehran, Tehran, Iran",141,,-6.5,10
20260118,Iran,120,TOURIST,-4,10
20260118,"Tehran, Tehran, Iran",114,REGIME,-2,10
20260118,Iran,111,RUSSIA,-2,1
20260118,Iran,111,RUSSIA,-2,3
20260118,"Teheran, Iran (general), Iran",120,REGIME,-4,4
20260118,"Tehran, Tehran, Iran",140,,-6.5,8
20260118,"Tehran, Tehran, Iran",120,ISRAEL,-4,1
20260118,"Tehran, Tehran, Iran",120,SECURITY FORCE,-4,10
20260118,"Tehran, Tehran, Iran",111,REGIME,-2,7
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",112,IRANIAN,-2,6
20260118,Iran,110,VOTER,-2,2
20260118,"Tehran, Tehran, Iran",120,PALESTINIAN,-4,3
20260118,Iran,143,IRAN,-6.5,10
20260118,Iran,141,SHIITE,-6.5,10
20260118,Iran,114,IRAN,-2,10
20260118,"Tehran, Tehran, Iran",110,ISRAELI,-2,2
20260118,"Tehran, Tehran, Iran",141,PRISON,-6.5,10
20260118,"Mashhad, (IR30), Iran",112,,-2,10
20260118,"Mashhad, (IR30), Iran",112,,-2,5
20260118,"Mashhad, (IR30), Iran",141,IRAN,-6.5,10
20260118,"Mashhad, (IR30), Iran",1125,ISLAMIC,-2,2
20260118,"Mashhad, (IR30), Iran",111,THE US,-2,10
20260118,Iran,112,LAWYER,-2,10
20260118,Iran,141,REGIME,-6.5,8
20260118,Iran,112,UNITED STATES,-2,2
20260118,Iran,112,UNITED STATES,-2,2
20260118,Iran,111,UNITED STATES,-2,4
20260118,"Tehran, Tehran, Iran",111,IRAN,-2,10
20260118,"Tehran, Tehran, Iran",110,TEHRAN,-2,6
20260118,"Tehran, Tehran, Iran",110,TEHRAN,-2,4
20260118,Iran,141,IRANIAN,-6.5,10
20260118,Iran,112,IRAN,-2,10
20260118,Iran,111,IRAN,-2,4
20260118,"Tehran, Tehran, Iran",111,PRESIDENT,-2,5
20260118,"Tehran, Tehran, Iran",111,UNITED STATES,-2,2
20260118,"Tehran, Tehran, Iran",111,UNITED STATES,-2,2
20260118,"Tehran, Tehran, Iran",112,UNITED STATES,-2,2
20260118,Iran,111,IRANIAN,-2,6
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,7
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,5
20260118,"Tehran, Tehran, Iran",141,TORONTO,-6.5,2
20260118,Iran,112,JOURNALIST,-2,10
20260118,Iran,114,PUBLISHER,-2,10
20260118,Iran,114,IRANIAN,-2,2
20260118,Iran,1124,IRANIAN,-2,10
20260118,Iran,114,IRANIAN,-2,3
20260118,"Tehran, Tehran, Iran",114,IRANIAN,-2,10
20260118,"Tehran, Tehran, Iran",112,IRANIAN,-2,10
20260118,"Tehran, Tehran, Iran",110,GOVERNMENT FORCES,-2,10
20260118,"Tehran, Tehran, Iran",110,SEPARATIST,-2,10
20260118,Iran,114,IRANIAN,-2,3
20260118,"Tehran, Tehran, Iran",1123,IRAN,-2,2
20260118,"Tehran, Tehran, Iran",120,IRAN,-4,20
20260118,"Tehran, Tehran, Iran",141,IRANIAN,-6.5,3
20260118,"Tehran, Tehran, Iran",112,TEHRAN,-2,8
20260118,"Tehran, Tehran, Iran",141,POPULATION,-6.5,10
20260118,"Tehran, Tehran, Iran",141,IRANIAN,-6.5,6
20260118,"As Iran, Az¯arbayjan-e Sharqi, Iran",120,IRAN,-4,4
20260118,"Karaj, Tehran, Iran",141,,-6.5,8
20260118,Iran,110,POPULATION,-2,10
20260118,"Anbar, Sistan va Baluchestan, Iran",141,IRAN,-6.5,2
20260118,"Anbar, Sistan va Baluchestan, Iran",141,IRAN,-6.5,1
20260118,"Tehran, Tehran, Iran",111,NAVY,-2,5
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,2
20260118,"Anbar, Sistan va Baluchestan, Iran",141,IRAN,-6.5,1
20260118,"Tehran, Tehran, Iran",111,,-2,4
20260118,"Tehran, Tehran, Iran",111,IRAN,-2,4
20260118,"Tehran, Tehran, Iran",114,IRAQI,-2,2
20260118,"Tehran, Tehran, Iran",114,IRAQI,-2,2
20260118,"Tehran, Tehran, Iran",114,IRAQI,-2,4
20260118,"Tehran, Tehran, Iran",114,IRAQ,-2,2
20260118,"Tehran, Tehran, Iran",111,,-2,1
20260118,Iran,110,MAYOR,-2,10
20260118,Iran,141,ROME,-6.5,10
20260118,"Tehran, Tehran, Iran",141,ISRAELI,-6.5,1
20260118,"Tehran, Tehran, Iran",111,ISRAEL,-2,8
20260118,"Tehran, Tehran, Iran",111,ISRAEL,-2,2
20260118,"Tehran, Tehran, Iran",111,THE US,-2,8
20260118,"Tehran, Tehran, Iran",111,THE US,-2,2
20260118,"Tabriz, Az¯arbayjan-e Sharqi, Iran",141,IRAN,-6.5,4
20260118,"Tehran, Tehran, Iran",141,ISRAELI,-6.5,1
20260118,Iran,111,IRAN,-2,4
20260118,Iran,111,IRANIAN,-2,6
20260118,"Sistan, Gilan, Iran",120,IRAN,-4,2
20260118,"Sistan, Gilan, Iran",120,MUSLIM,-4,8
20260118,Iran,114,IRAN,-2,10
20260118,Iran,141,SECURITY FORCE,-6.5,2
20260118,Iran,111,ISLAMIC,-2,5
20260118,"Kahrizak, Ostan-e Alborz, Iran",1124,PRESIDENT,-2,4
20260118,"Kahrizak, Ostan-e Alborz, Iran",1124,IRAN,-2,1
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,3
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,10
20260118,"Tehran, Tehran, Iran",141,IRAN,-6.5,10
20260118,"Tehran, Tehran, Iran",112,IRAN,-2,1
20260118,"Tehran, Tehran, Iran",112,IRANIAN,-2,3
20260118,"Tehran, Tehran, Iran",112,IRANIAN,-2,3
20260118,Iran,141,DEMONSTRATOR,-6.5,2
20260118,"Tehran, Tehran, Iran",120,,-4,5
20260118,"Tehran, Tehran, Iran",110,ISLAMIC,-2,1
20260118,"Tehran, Tehran, Iran",110,ISLAMIC,-2,2
20260118,Iran,141,IRAN,-6.5,10
20260118,"Tehran, Tehran, Iran",141,,-6.5,10
20260118,Iran,141,,-6.5,6
20260118,Iran,120,EGYPT,-4,2
20260118,Iran,141,IRAN,-6.5,10
20260118,"Tehran, Tehran, Iran",114,DOCTOR,-2,10
20260118,Iran,120,IRAN,-4,10
20260118,"Tehran, Tehran, Iran",110,UNITED STATES,-2,10
20260118,Iran,112,,-2,10
20260118,Iran,114,IRAN,-2,10
20260118,"Rasht, Gilan, Iran",120,CRIMINAL,-4,10
20260118,"Tehran, Tehran, Iran",120,IRAN,-4,30
20260118,"Tehran, Tehran, Iran",112,TERRORIST,-2,30
20260118,"Rasht, Gilan, Iran",141,UNITED STATES,-6.5,4
20260118,"Rasht, Gilan, Iran",141,WASHINGTON,-6.5,4
20260118,Iran,120,IRAN,-4,10
20260118,Iran,112,IRAN,-2,2
20260118,Iran,141,SWITZERLAND,-6.5,6
20260118,Iran,112,IRANIAN,-2,3
20260118,Iran,1123,AUTHORITIES,-2,10
20260118,Iran,112,IRAN,-2,2
20260118,Iran,1123,AYATOLLAH KHAMENEI,-2,10
20260118,"Tehran, Tehran, Iran",141,SECURITY FORCE,-6.5,10
20260118,"Tehran, Tehran, Iran",120,IRAN,-4,10
20260118,Iran,111,IRAN,-2,10
20260118,Iran,141,SECURITY FORCE,-6.5,10
20260118,Iran,120,ATTORNEY,-4,8
20260118,"Tehran, Tehran, Iran",110,CARRIER,-2,10
20260118,Iran,141,IRAN,-6.5,3
20260118,Iran,140,UNITED KINGDOM,-6.5,2
20260118,Iran,140,LONDON,-6.5,6
20260118,Iran,140,IRAN,-6.5,2
20260118,Iran,140,DEMONSTRATOR,-6.5,10
20260118,Iran,128,ISRAEL,-5,2
20260118,Iran,128,GAZA,-5,6
20260118,Iran,112,IRAN,-2,10
20260118,Iran,141,IRAN,-6.5,8
20260118,"Tehran, Tehran, Iran",111,IRAN,-2,1
20260118,Iran,114,CRIMINAL,-2,2
20260118,Iran,141,REUTERS,-6.5,5
20260118,Iran,120,IRAN,-4,5
20260118,"Tehran, Tehran, Iran",110,MEDIA,-2,5
20260118,"Tehran, Tehran, Iran",110,UPRISING,-2,5
20260118,Iran,120,IRAN,-4,10
20260118,Iran,111,VENEZUELA,-2,2
20260118,"Mohammad Reza, Sistan va Baluchestan, Iran",120,IRAN,-4,10
20260118,"Mohammad Reza, Sistan va Baluchestan, Iran",112,REGIME,-2,2
